,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
0,1574109598980,26,27,175062600,531,361,0.1735975,0.16369625,MineSweeper.java,6,MineSweeper.main:Comment,Comment,1
1,1574109599204,32,23,591557500,574,307,0.61935,0.637652711864,MineSweeper.java,8,MineSweeper.ClassHeader,Member_Variable,1
2,1574109599971,6,27,456271900,396,361,0.391869347826,0.423715434783,MineSweeper.java,6,MineSweeper.main:Comment,Comment,1
4,1574109600704,24,44,83199800,515,615,0.5979383333330001,0.590715,MineSweeper.java,19,MineSweeper.main,Method_Body,1
6,1574109601737,5,4,566565000,382,115,0.6745625,0.8633303571430001,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
7,1574109604054,8,5,208486400,405,172,0.492086315789,0.51173,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
8,1574109604279,2,2,283383800,363,127,0.558935757576,0.608708181818,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
9,1574109605498,10,2,349775000,424,120,0.00249642857143,0.0163692857143,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
10,1574109606406,0,2,82338600,351,112,1.2977299999999998,1.3288725,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
11,1574109607262,2,1,149742200,364,110,0.8269059999999999,0.85109,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
16,1574109613119,11,3,1608301200,416,144,0.343907960526,0.405220131579,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
17,1574109614852,27,3,208824700,541,141,0.4370748,0.604384,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
18,1574109615086,47,3,999580100,688,141,0.384107291667,0.471408541667,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
19,1574109616102,59,3,450066000,768,137,0.267214814815,0.280371851852,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
20,1574109616628,3,4,1114852800,370,154,0.486544090909,0.534960363636,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
21,1574109617777,17,4,433261000,477,153,0.372777115385,0.435422692308,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
22,1574109618249,31,4,161257000,565,156,0.516902142857,0.5818300000000001,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
23,1574109618412,34,4,1370671800,592,146,0.381050886076,0.486515253165,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
24,1574109619794,54,4,858018700,743,154,0.4523862745100001,0.465916666667,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
25,1574109620668,62,4,374758200,786,147,0.35073173913,0.398877608696,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
26,1574109621118,72,4,75129600,857,158,1.0935325,-0.5,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
27,1574109621218,72,4,116799100,853,141,1.0913700000000002,-0.5,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
28,1574109621385,49,4,287708500,692,152,0.345639714286,0.4587594285710001,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
29,1574109621689,42,4,145476400,643,159,0.547930526316,0.5844247368419999,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
31,1574109622102,9,8,199851300,414,214,0.282954,0.2944405,MineSweeper.java,9,MineSweeper.Imports,NONE,1
32,1574109624535,45,4,513237900,669,154,0.492753548387,0.499032741935,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
