,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
4,1576100498471,17,23,173902700,472,299,-0.097835,-0.12494375,MineSweeperBoard.java,0,MineSweeperBoard.RandomComment,Comment,1
12,1576100500982,19,32,133637900,486,436,0.00207333333333,0.0827611111111,MineSweeperBoard.java,7,MineSweeperBoard.ClassHeader,Member_Variable,1
14,1576100501974,25,59,270284400,524,681,0.18213,0.211726818182,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
15,1576100502465,24,60,84453100,516,634,0.21047,0.247783333333,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
16,1576100503191,24,60,140642600,517,540,0.300177857143,0.33045,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
17,1576100503607,22,56,175136900,509,440,-1.0,-0.75,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
18,1576100506989,54,63,564517500,728,541,0.40496375,0.20480375,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
19,1576100507913,9,64,608787600,432,564,0.406190754717,0.40354509434,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
20,1576100508723,36,70,262960800,620,652,0.44301,0.595253181818,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
21,1576100508986,27,70,153315700,557,646,0.201545333333,0.253240666667,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
22,1576100509813,14,67,310324700,468,539,0.315510625,0.374241875,MineSweeperBoard.java,9,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
23,1576100510140,12,64,983762800,432,461,0.262783296703,0.274562967033,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
24,1576100511173,14,64,92391100,464,465,0.150078333333,0.15075750000000002,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
25,1576100511295,8,67,216430000,429,508,0.177761111111,0.20693444444400005,MineSweeperBoard.java,9,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
26,1576100511524,21,70,765297700,516,559,0.210146753247,0.245070519481,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
27,1576100512306,41,70,108206500,660,556,0.103568461538,0.123258461538,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
28,1576100512548,47,70,124147400,700,556,0.315440909091,0.175149090909,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
29,1576100513104,30,70,1008442000,570,558,0.15288253012,0.190066385542,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
30,1576100514146,46,70,266375800,692,558,0.3015696,0.2990956,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
31,1576100514714,59,70,791509400,790,558,0.184005633803,0.209180985915,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
32,1576100515580,48,70,116974400,710,557,0.07722000000000001,-0.169882,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
33,1576100515898,35,70,442099400,619,555,-0.050220526315800006,0.07938421052630001,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
34,1576100516405,42,70,291946900,650,558,0.207745,0.152094333333,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
35,1576100516983,34,70,756522300,605,559,0.161414358974,0.208265,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
36,1576100517773,45,70,291044200,685,555,0.2438415,-0.014179,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
37,1576100518172,59,70,830786400,784,557,0.398379285714,0.357778928571,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
38,1576100519336,59,71,762171400,774,571,0.129970344828,-0.04028,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
39,1576100520538,34,70,308342000,611,559,0.2796356,0.3063848,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
40,1576100520863,42,70,299829600,667,559,-0.152378,-0.275677333333,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
41,1576100521213,49,71,91616700,716,571,0.292783636364,0.253429090909,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
42,1576100521338,9,71,324870600,433,569,0.223807,0.20445925,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
43,1576100521679,25,71,383662400,559,572,0.131941702128,0.157489787234,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
44,1576100522079,36,70,198786900,621,561,0.223739130435,0.233773913043,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
45,1576100522302,55,70,169366900,759,556,0.32543125,0.32104125,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
46,1576100522522,48,70,141320900,709,555,0.252547857143,0.09544785714289998,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
47,1576100524038,5,40,374809900,389,112,-0.06771,0.53349375,MineSweeperBoard.java,5,MineSweeperBoard.ClassHeader,Member_Variable,1
49,1576100529546,19,41,375466000,486,124,0.710178,0.6347314285710001,MineSweeperBoard.java,5,MineSweeperBoard.ClassHeader,Member_Variable,1
50,1576100529938,25,40,183154800,528,117,0.6804745,0.460847,MineSweeperBoard.java,5,MineSweeperBoard.ClassHeader,Member_Variable,1
52,1576100532637,16,117,141493400,1259,320,0.75808,0.694383636364,MineSweeper.java,1,MineSweeper.Difficulty:Header,Comment,1
53,1576100532853,22,104,166970100,1301,128,0.304915333333,0.522842,MineSweeper.java,2,MineSweeper.startGame,Method_Body,1
55,1576100533580,21,124,274919300,1295,513,0.383207307692,0.363427692308,MineSweeper.java,1,MineSweeper.Difficulty:Header,Method_Body,1
57,1576100534412,29,82,174962800,1351,147,0.45373375,0.6571199999999999,MineSweeper.java,3,MineSweeper.customGame,Method_Body,1
59,1576100535062,39,75,166688400,1424,308,0.807143076923,0.733652307692,MineSweeper.java,7,MineSweeper.customGame:Comment,Comment,1
61,1576100535761,27,64,183223200,1342,174,-0.578497777778,-0.252765555556,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
62,1576100536078,50,53,191171100,1499,159,0.0775457142857,0.326195714286,MineSweeper.java,0,MineSweeper.newGame,Comment,1
63,1576100536488,11,54,102965000,1227,271,0.29505,0.249448888889,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
64,1576100536993,41,58,108130400,1437,352,0.8416126666670001,0.717221333333,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
65,1576100537193,48,58,150175600,1491,347,2.907795,2.72918,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
66,1576100537801,53,63,151651100,721,467,0.034815,0.0497335714286,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
67,1576100538360,50,58,166408300,1504,350,-0.208804444444,0.31916,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
68,1576100538723,21,57,268417700,1296,343,0.224160606061,0.203361515152,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
69,1576100539066,35,54,386183600,1393,333,0.392418333333,0.56336625,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
70,1576100539570,44,58,178392500,1462,416,1.800955,1.0387275,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
71,1576100539919,46,58,83127500,1471,406,-0.05915,-0.1089625,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
72,1576100543135,52,70,116923500,738,570,0.83675,0.8768275,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
73,1576100543360,42,70,149691000,673,568,-0.10470375,-0.07976749999999999,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
