,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
0,1574805884510,8,8,335575400,329,215,-0.02151125,0.26431125,MineSweeper.java,10,MineSweeper.Imports,NONE,1
1,1574805885111,26,9,208452100,469,235,-0.8,-0.401462,MineSweeper.java,10,MineSweeper.Imports,NONE,1
2,1574805887144,28,4,157623700,478,147,0.101805,-0.5,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
3,1574805887844,13,9,200040500,374,224,-0.218972941176,-0.07920176470589999,MineSweeper.java,10,MineSweeper.Imports,NONE,1
5,1574805889011,28,4,80676400,478,153,-0.50146,0.022005,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
6,1574805889309,10,2,111155000,351,129,-0.5,1.252745,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
8,1574805893235,21,4,91446100,430,156,-1.0,-0.333333333333,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
9,1574805893610,30,4,74956600,491,160,-0.357138,0.0,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
12,1574805895685,6,3,66342300,320,144,-0.8571428571430001,-0.262398571429,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
13,1574805895884,27,4,66271100,472,161,-1.0,-0.666666666667,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
15,1574805896285,6,4,200282500,325,148,-0.394354210526,-0.531028421053,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
19,1574805899636,6,4,66225400,320,168,-0.75,-0.2530325,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
23,1574805901517,30,9,241614700,493,231,-0.6887177777779999,-0.777777777778,MineSweeper.java,10,MineSweeper.Imports,NONE,1
25,1574805902551,17,22,840880300,405,345,-0.8181818181820001,-0.269070909091,MineSweeper.java,7,MineSweeper.ClassHeader,Comment,1
27,1574805903952,25,28,114779400,458,401,-0.8571428571430001,-0.17028571428599998,MineSweeper.java,2,MineSweeper.main:Comment,Comment,1
28,1574805904158,27,28,116481100,467,392,-0.875,-0.65767625,MineSweeper.java,2,MineSweeper.main:Comment,Comment,1
29,1574805904300,34,28,166603800,518,396,-0.909090909091,-0.711677272727,MineSweeper.java,2,MineSweeper.main:Comment,Comment,1
30,1574805904592,20,31,191232100,421,414,-0.916666666667,-0.5173425,MineSweeper.java,3,MineSweeper.main,Comment,1
31,1574805904909,12,31,75083400,364,409,-1.0,-1.0,MineSweeper.java,3,MineSweeper.main,Comment,1
32,1574805905750,18,28,129401700,409,364,-0.533736153846,-0.619121538462,MineSweeper.java,2,MineSweeper.main:Comment,Comment,1
33,1574805906138,14,34,152230300,382,423,-0.769230769231,-0.200403076923,MineSweeper.java,13,MineSweeper.main,Method_Body,1
34,1574805906367,20,36,491262200,426,451,-0.820512820513,-0.4458071794870001,MineSweeper.java,13,MineSweeper.main,Method_Body,1
38,1574805908583,21,41,137969700,427,498,-1.0,-1.0,MineSweeper.java,11,MineSweeper.main,Method_Body,1
40,1574805909800,19,57,991283500,427,539,-0.92649097561,-0.916731707317,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
41,1574805911299,18,57,1199931000,405,496,-0.931105882353,-0.919200352941,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
42,1574805912932,50,60,119730400,630,515,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
44,1574805913732,23,76,95821100,443,628,-1.0,-1.0,MineSweeper.java,8,MineSweeper.customGame:Comment,Comment,1
45,1574805913937,15,75,240459100,393,594,-1.0,-1.0,MineSweeper.java,8,MineSweeper.customGame:Comment,Comment,1
46,1574805914209,13,82,139862500,376,658,-0.585016,-0.9,MineSweeper.java,9,MineSweeper.customGame,Method_Body,1
48,1574805914979,24,82,245434300,451,481,-1.0,-1.0,MineSweeper.java,9,MineSweeper.customGame,Method_Body,1
