,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
5,1564004265262,41,23,100147500,663,307,1.11631428571,1.1395914285700002,MineSweeperBoard.java,10,MineSweeperBoard.RandomComment,Comment,1
6,1564004265796,14,23,85701000,469,302,-0.470342857143,-0.476758571429,MineSweeperBoard.java,10,MineSweeperBoard.RandomComment,Comment,1
7,1564004265906,12,23,110947700,461,308,0.269156666667,0.259371666667,MineSweeperBoard.java,10,MineSweeperBoard.RandomComment,Comment,1
8,1564004266037,7,29,276013200,420,392,0.110070588235,0.117321176471,MineSweeperBoard.java,22,MineSweeperBoard.ClassHeader,Member_Variable,1
11,1564004266704,37,29,349768600,628,366,0.159937368421,0.181097368421,MineSweeperBoard.java,22,MineSweeperBoard.ClassHeader,Member_Variable,1
14,1564004267529,11,31,459999600,447,369,-0.1288812,0.2037254,MineSweeperBoard.java,15,MineSweeperBoard.ClassHeader,Comment,1
19,1564004270355,7,33,240240500,419,412,0.1516975,0.236791785714,MineSweeperBoard.java,15,MineSweeperBoard.ClassHeader,Member_Variable,1
20,1564004270673,6,51,79024400,414,684,-0.052298,-0.257116,MineSweeperBoard.java,44,MineSweeperBoard.ClassHeader,Member_Variable,1
21,1564004270762,6,51,82585300,409,649,0.781895,0.8511549999999999,MineSweeperBoard.java,44,MineSweeperBoard.ClassHeader,Member_Variable,1
22,1564004271037,11,57,80494100,445,650,0.37918,0.438343,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
23,1564004271140,17,59,214003700,494,625,-0.212252857143,-0.0422080952381,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
24,1564004271412,9,63,291652900,442,685,-0.0449234375,-0.040254375,MineSweeperBoard.java,8,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
25,1564004271778,11,48,166442500,444,448,-0.8,-0.29101466666700004,MineSweeperBoard.java,35,MineSweeperBoard.ClassHeader,Member_Variable,1
26,1564004272078,13,48,233543200,462,449,-0.666666666667,0.226845238095,MineSweeperBoard.java,35,MineSweeperBoard.ClassHeader,Member_Variable,1
27,1564004272355,15,35,72335000,482,268,-0.8,-0.26157,MineSweeperBoard.java,66,MineSweeperBoard.ClassHeader,Member_Variable,1
28,1564004272444,15,35,191516800,476,249,0.266178823529,0.759193529412,MineSweeperBoard.java,66,MineSweeperBoard.ClassHeader,Member_Variable,1
29,1564004272689,14,32,347547900,474,216,0.291304347826,0.316732608696,MineSweeperBoard.java,15,MineSweeperBoard.ClassHeader,Member_Variable,1
30,1564004273211,19,32,75612600,507,217,-0.171852857143,0.632348571429,MineSweeperBoard.java,15,MineSweeperBoard.ClassHeader,Member_Variable,1
41,1564004277469,4,54,142105300,398,587,-0.714285714286,0.0578642857143,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
43,1564004277919,7,63,241799600,420,724,0.417441428571,0.12890285714299998,MineSweeperBoard.java,8,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
44,1564004278637,30,63,181857000,582,724,0.81422625,0.84864875,MineSweeperBoard.java,8,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
46,1564004279271,52,63,115271100,731,587,0.113769,0.129065,MineSweeperBoard.java,8,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
48,1564004280494,46,61,129953400,675,601,0.419545454545,0.412754545455,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
49,1564004280886,47,63,391425000,682,614,0.493914,0.531776,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
50,1564004282079,48,63,125310500,708,590,0.51397875,0.515495,MineSweeperBoard.java,8,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
51,1564004282432,44,71,912148700,703,712,0.238033052632,0.215205052632,MineSweeperBoard.java,9,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
52,1564004283718,27,69,66896100,580,688,0.250843333333,0.256578333333,MineSweeperBoard.java,9,MineSweeperBoard.MineSweeperBoard(int int int int),Comment,1
53,1564004284110,53,63,283217600,742,590,0.274885,0.034405,MineSweeperBoard.java,8,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
54,1564004284439,59,63,146214300,783,595,-0.501432727273,0.0210781818182,MineSweeperBoard.java,8,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
55,1564004284620,66,63,223841500,832,588,0.08924235294119999,0.08014588235289999,MineSweeperBoard.java,8,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
56,1564004286402,57,58,91561200,752,534,0.239231666667,0.27355,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
