,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
0,1563902581798,26,265,449460400,556,397,-0.961538461538,-1.0,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,1
1,1563902582532,29,267,66639300,555,423,-0.35512,-0.833333333333,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,1
2,1563902582649,38,267,333333100,618,430,-1.0,-1.0,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,1
3,1563902583183,41,262,175353200,635,347,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,1
4,1563902583403,25,261,178499600,526,335,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,1
5,1563902583607,20,260,646252900,496,317,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,1
6,1563902585685,22,263,88464700,501,366,-1.0,-1.0,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,1
7,1563902585860,14,280,313090200,450,626,-1.0,-0.9375,MineSweeperGui.java,59,MineSweeperGui.resetButtons,Method_Body,1
8,1563902586186,9,280,123870600,414,629,-1.0,-1.0,MineSweeperGui.java,59,MineSweeperGui.resetButtons,Method_Body,1
9,1563902587036,16,277,148736500,463,575,-1.0,-1.0,MineSweeperGui.java,26,MineSweeperGui.resetButtons,Method_Body,1
10,1563902587223,15,345,283374400,451,636,-1.0,-1.0,MineSweeperGui.java,57,MineSweeperGui.actionPerformed,Comment,1
11,1563902587555,15,332,424884300,456,335,-1.0,-1.0,MineSweeperGui.java,34,MineSweeperGui.actionPerformed,Method_Body,1
12,1563902588022,20,331,579878100,498,322,-1.0,-1.0,MineSweeperGui.java,34,MineSweeperGui.actionPerformed,Method_Body,1
13,1563902588756,8,322,187952400,401,180,-0.680681818182,-0.909090909091,MineSweeperGui.java,6,MineSweeperGui.actionPerformed,Method_Signature,1
14,1563902588956,13,323,217911900,440,208,-0.809656842105,-0.947368421053,MineSweeperGui.java,6,MineSweeperGui.actionPerformed,Method_Body,1
15,1563902589199,23,323,423486600,514,201,-1.0,-1.0,MineSweeperGui.java,6,MineSweeperGui.actionPerformed,Method_Body,1
16,1563902589655,35,323,519033200,593,207,-0.777118611111,-0.8112577777779999,MineSweeperGui.java,6,MineSweeperGui.actionPerformed,Method_Body,1
18,1563902591427,10,323,749397500,413,209,-0.607616470588,-0.726341617647,MineSweeperGui.java,6,MineSweeperGui.actionPerformed,Method_Body,1
23,1563902600581,20,192,763378300,492,322,-0.379158,-0.833333333333,MineSweeperGui.java,58,MineSweeperGui.MineSweeperGui,Method_Body,1
26,1563902605550,19,332,169819600,486,342,-1.0,-1.0,MineSweeperGui.java,34,MineSweeperGui.actionPerformed,Method_Body,1
27,1563902605905,21,338,65325900,496,428,-1.0,-1.0,MineSweeperGui.java,17,MineSweeperGui.actionPerformed,Method_Body,1
28,1563902606022,18,328,156473900,476,279,-1.0,-1.0,MineSweeperGui.java,4,MineSweeperGui.actionPerformed,Method_Body,1
29,1563902606179,17,332,478790500,471,334,-0.8776864516130001,-0.967741935484,MineSweeperGui.java,34,MineSweeperGui.actionPerformed,Method_Body,1
30,1563902607353,21,332,266646100,499,334,-1.0,-1.0,MineSweeperGui.java,34,MineSweeperGui.actionPerformed,Method_Body,1
31,1563902607645,14,332,108282600,447,336,-1.0,-1.0,MineSweeperGui.java,34,MineSweeperGui.actionPerformed,Method_Body,1
32,1563902607920,20,331,100203700,488,315,-0.502661428571,-0.8571428571430001,MineSweeperGui.java,34,MineSweeperGui.actionPerformed,Method_Body,1
34,1563902608675,13,280,479754500,439,387,-1.0,-1.0,MineSweeperGui.java,59,MineSweeperGui.resetButtons,Method_Body,1
37,1563902610406,18,265,118345500,474,396,-1.0,-1.0,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
38,1563902610570,17,267,282902500,467,428,-1.0,-1.0,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
39,1563902611020,23,267,408098400,523,434,-1.0,-1.0,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
40,1563902611454,36,267,259704100,602,431,-0.517250869565,-0.8695652173909999,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
42,1563902612445,38,267,941028600,621,431,-0.863546811594,-0.847337826087,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
49,1563902615994,20,268,196772900,490,437,-0.5284949999999999,-0.68079375,MineSweeperGui.java,50,MineSweeperGui.updateCheat,Method_Body,2
50,1563902616203,14,267,291406700,449,421,-1.0,-1.0,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
51,1563902617049,21,268,727730900,506,436,-0.932862407407,-0.981481481481,MineSweeperGui.java,50,MineSweeperGui.updateCheat,Method_Body,2
53,1563902618744,26,269,175040800,532,463,-1.0,-1.0,MineSweeperGui.java,50,MineSweeperGui.updateCheat,Method_Body,2
54,1563902618994,14,267,224624900,451,420,-0.928571428571,-1.0,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
57,1563902620744,17,267,386450100,480,432,-1.0,-1.0,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
58,1563902621152,17,262,291459500,469,344,-0.5927040740739999,-0.888888888889,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
59,1563902621469,25,262,122157700,523,344,0.06667266666669999,-0.489453333333,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
60,1563902621631,41,262,555055900,620,356,-0.329764782609,-0.826086956522,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
61,1563902622287,54,262,182166900,734,355,0.03992,-0.75,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
62,1563902622493,38,262,99997200,617,352,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
63,1563902622877,47,262,175155300,693,351,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
64,1563902623102,34,267,177307600,592,431,-0.663106923077,-0.923076923077,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
65,1563902623302,22,268,258177400,502,442,-0.647058823529,0.348107647059,MineSweeperGui.java,50,MineSweeperGui.updateCheat,Method_Body,2
66,1563902625052,29,267,191598000,559,427,-0.533258888889,-0.888888888889,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
67,1563902625278,21,268,497032300,490,437,-0.799621315789,-0.947368421053,MineSweeperGui.java,50,MineSweeperGui.updateCheat,Method_Body,2
68,1563902625803,16,262,394589500,461,348,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
69,1563902626200,18,261,450807900,475,330,-0.507455365854,-0.8780487804880001,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
70,1563902626685,21,263,192981400,497,366,0.5926164705879999,-0.588235294118,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
71,1563902626976,20,263,278659300,478,362,-0.0194535714286,-0.75,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
72,1563902627268,24,262,316772000,520,356,0.155275588235,-0.705882352941,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
73,1563902627601,21,262,424901300,495,353,-0.431828181818,-0.863636363636,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
74,1563902628051,23,260,233191700,509,321,0.0975134615385,-0.730769230769,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
75,1563902628302,20,261,1040853000,487,341,0.13185432203400002,-0.7118644067800001,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
76,1563902629418,26,249,183122100,529,152,-1.0,-1.0,MineSweeperGui.java,33,MineSweeperGui.setCheating,Method_Body,2
77,1563902629643,17,249,113033600,467,159,-0.682833636364,-0.909090909091,MineSweeperGui.java,33,MineSweeperGui.setCheating,Method_Body,2
78,1563902629819,14,261,462442200,446,328,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
79,1563902630301,22,260,108499000,501,323,0.011033333333299998,-0.75,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
80,1563902630431,22,260,227639300,501,324,-0.0330403846154,-0.730769230769,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
81,1563902630676,22,260,141437000,501,324,-0.07102357142860001,-0.785714285714,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
82,1563902630967,22,261,208720100,503,333,-0.402345238095,-0.8571428571430001,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
83,1563902631192,23,261,66903100,510,333,0.491751111111,-0.666666666667,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
84,1563902631275,28,261,139066600,549,332,-0.364926153846,-0.659475384615,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
85,1563902631475,27,260,75078500,541,326,0.233649,-0.7,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
86,1563902631568,27,260,123381900,540,324,-0.6359441666669999,-0.916666666667,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
87,1563902633170,16,220,329324700,461,429,-1.0,-0.964285714286,MineSweeperGui.java,9,MineSweeperGui.updateSpaces,Method_Body,2
88,1563902633525,23,219,125537600,514,408,-1.0,-1.0,MineSweeperGui.java,9,MineSweeperGui.updateSpaces,Method_Body,2
89,1563902633675,23,219,158153000,512,407,-0.117072352941,-0.7647058823530001,MineSweeperGui.java,9,MineSweeperGui.updateSpaces,Method_Body,2
90,1563902633977,20,202,65675700,491,188,-0.15135375,-0.75,MineSweeperGui.java,31,MineSweeperGui.getButton:Comment,Comment,2
91,1563902634199,18,207,186042800,474,279,-0.133928888889,-0.777777777778,MineSweeperGui.java,14,MineSweeperGui.getButton,Method_Body,2
93,1563902634727,38,172,206980400,614,317,-0.08315750000000001,-0.75,MineSweeperGui.java,54,MineSweeperGui.MineSweeperGui,Method_Body,2
94,1563902635150,31,157,101731000,564,367,0.08686857142860001,-0.714285714286,MineSweeperGui.java,1,MineSweeperGui.MineSweeperGui,Method_Body,2
95,1563902635396,29,153,279088800,551,366,-0.647283809524,-0.904761904762,MineSweeperGui.java,1,MineSweeperGui.MineSweeperGui,Comment,2
96,1563902635950,28,59,557946100,549,219,-0.576544722222,-0.888888888889,MineSweeperGui.java,20,MineSweeperGui.ClassHeader,Member_Variable,2
97,1563902636566,16,40,424388900,463,278,-0.705576428571,-0.928571428571,MineSweeperGui.java,22,MineSweeperGui.ClassHeader,Comment,2
98,1563902637116,24,52,274929400,521,504,-0.8421052631579999,-0.346558947368,MineSweeperGui.java,13,MineSweeperGui.ClassHeader,Member_Variable,2
99,1563902637449,24,55,254220400,516,553,-1.0,-0.952380952381,MineSweeperGui.java,13,MineSweeperGui.ClassHeader,Member_Variable,2
100,1563902637729,26,55,220593000,535,555,-0.8179945,-0.95,MineSweeperGui.java,13,MineSweeperGui.ClassHeader,Member_Variable,2
101,1563902637981,28,55,211603300,543,549,-0.667888181818,-0.8181818181820001,MineSweeperGui.java,13,MineSweeperGui.ClassHeader,Member_Variable,2
102,1563902638242,29,55,392836600,558,557,-0.712144230769,-0.923076923077,MineSweeperGui.java,13,MineSweeperGui.ClassHeader,Member_Variable,2
103,1563902638930,29,60,473635100,549,632,-1.0,-1.0,MineSweeperGui.java,20,MineSweeperGui.ClassHeader,Member_Variable,2
106,1563902641033,30,45,66700200,557,403,1.42945,-0.333333333333,MineSweeperGui.java,42,MineSweeperGui.ClassHeader,Member_Variable,2
108,1563902642081,26,45,124824400,530,406,2.56569,0.0,MineSweeperGui.java,42,MineSweeperGui.ClassHeader,Member_Variable,2
