,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
0,1564601795021,16,38,74962200,462,481,-0.0236625,0.0,MineSweeper.java,7,MineSweeper.main,Comment,1
1,1564601795362,12,20,191938100,434,267,0.500448888889,0.0,MineSweeper.java,2,MineSweeper.ClassHeader,Comment,1
2,1564601796064,9,6,108448800,416,183,0.612554,0.0,MineSweeper.java,3,MineSweeper.Imports,NONE,1
3,1564601797081,13,21,326803100,442,256,0.346434722222,-0.394693888889,MineSweeper.java,2,MineSweeper.ClassHeader,Member_Variable,1
4,1564601797580,16,7,131909600,463,168,0.43358875,-0.327078125,MineSweeper.java,3,MineSweeper.Imports,NONE,1
5,1564601798003,16,20,91378600,454,261,-0.183681,-0.8,MineSweeper.java,2,MineSweeper.ClassHeader,Comment,1
6,1564601798253,11,14,109887800,424,235,1.0991,0.82873,MineSweeper.java,5,MineSweeper.ClassComment,Comment,1
7,1564601798413,11,7,533571000,433,199,-0.021295862069,-0.519810344828,MineSweeper.java,3,MineSweeper.Imports,NONE,1
8,1564601798963,11,6,97947600,423,192,0.44095875,-0.3772875,MineSweeper.java,3,MineSweeper.Imports,NONE,1
9,1564601799080,24,7,350035400,529,197,0.369848918919,-0.522223783784,MineSweeper.java,3,MineSweeper.Imports,NONE,1
10,1564601799531,14,20,131595800,445,260,1.7089900000000002,0.436936666667,MineSweeper.java,2,MineSweeper.ClassHeader,Comment,1
11,1564601799704,14,7,157765000,445,198,0.225781764706,-0.705882352941,MineSweeper.java,3,MineSweeper.Imports,NONE,1
12,1564601799913,26,14,141967200,530,227,1.9349225,-0.25,MineSweeper.java,5,MineSweeper.ClassComment,Comment,1
13,1564601800819,20,20,241344300,489,265,-0.952380952381,-0.852491904762,MineSweeper.java,2,MineSweeper.ClassHeader,Comment,1
14,1564601801102,35,21,359287600,595,278,0.22434425,-0.7,MineSweeper.java,2,MineSweeper.ClassHeader,Member_Variable,1
16,1564601802562,19,7,79551100,480,202,-1.0,-1.0,MineSweeper.java,3,MineSweeper.Imports,NONE,1
17,1564601802896,9,20,158415700,420,256,0.297985555556,-0.179691111111,MineSweeper.java,2,MineSweeper.ClassHeader,Comment,1
18,1564601803354,15,7,82883800,454,171,0.095114,-0.283738,MineSweeper.java,3,MineSweeper.Imports,NONE,1
19,1564601803455,12,3,249471100,434,109,0.519634583333,0.17060375,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
20,1564601804227,22,3,94075500,500,140,-0.480975,-0.476096666667,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
21,1564601810371,24,7,132755900,517,201,0.376188888889,-0.666666666667,MineSweeper.java,3,MineSweeper.Imports,NONE,1
22,1564601810670,23,3,208121000,519,142,0.318185,0.17624636363600002,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
25,1564601813567,6,2,455630700,393,123,0.214964090909,0.0132668181818,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
27,1564601834591,22,41,100057000,498,530,-0.0577625,-0.0229225,MineSweeper.java,8,MineSweeper.main,Comment,1
29,1564601842406,17,331,233515200,467,325,0.148045925926,-0.7037037037039999,MineSweeperGui.java,19,MineSweeperGui.actionPerformed,Method_Body,1
30,1564601842740,15,331,66592100,456,316,-0.434942857143,-0.8571428571430001,MineSweeperGui.java,19,MineSweeperGui.actionPerformed,Method_Body,1
31,1564601842831,15,331,117337900,451,318,0.3064775,-0.666666666667,MineSweeperGui.java,19,MineSweeperGui.actionPerformed,Method_Body,1
32,1564601843225,10,323,281869100,422,193,0.240955227273,-0.113497045455,MineSweeperGui.java,7,MineSweeperGui.actionPerformed,Method_Body,1
