,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
0,1574206721582,33,267,132072200,579,400,-1.0,-0.888888888889,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
1,1574206722162,39,267,67998700,625,398,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
2,1574206722589,37,267,524708500,607,402,-0.961538461538,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
3,1574206723605,17,266,130728800,470,372,0.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
4,1574206723864,25,265,96563500,525,366,0.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
5,1574206724029,25,267,157723900,528,394,-0.4,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
6,1574206724339,21,269,74757300,500,425,-1.0,-1.0,MineSweeperGui.java,3,MineSweeperGui.updateCheat,Method_Body,2
8,1574206725116,32,267,171161600,577,399,0.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
9,1574206727213,37,263,175144400,609,339,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
10,1574206727429,39,263,152307900,633,333,-1.0,-0.888888888889,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
11,1574206727937,46,266,352302800,668,367,0.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
12,1574206729410,12,267,69328600,432,395,-0.8,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
13,1574206730563,41,267,166620800,643,401,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
14,1574206731135,29,265,150558400,558,365,0.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
15,1574206731335,19,265,251095600,486,366,0.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
16,1574206735012,12,267,66625700,436,394,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
17,1574206735763,16,269,226190700,458,433,-1.0,-1.0,MineSweeperGui.java,3,MineSweeperGui.updateCheat,Method_Body,2
18,1574206737735,20,263,74912700,491,340,0.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
19,1574206739061,30,262,208555400,559,318,0.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
20,1574206739311,25,259,134486700,524,278,0.0,-0.463918333333,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Comment,2
21,1574206741045,20,261,75075400,495,312,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
22,1574206741162,20,261,178611000,492,307,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
23,1574206741632,25,268,106324400,525,402,-1.0,-0.5,MineSweeperGui.java,3,MineSweeperGui.updateCheat,Method_Body,2
24,1574206742454,20,259,97700000,489,274,-1.0,-0.5,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Comment,2
25,1574206745345,24,269,145659000,521,417,-1.0,-1.0,MineSweeperGui.java,3,MineSweeperGui.updateCheat,Method_Body,2
26,1574206745592,23,268,509946200,510,409,-1.0,-1.0,MineSweeperGui.java,3,MineSweeperGui.updateCheat,Method_Body,2
27,1574206746270,21,266,99849300,496,368,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
31,1574206749873,38,265,74901700,619,366,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
32,1574206749989,26,267,133154900,533,401,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
33,1574206750698,25,267,99909500,525,402,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
34,1574206751272,14,250,150078700,446,134,-1.0,-1.0,MineSweeperGui.java,3,MineSweeperGui.setCheating,Method_Body,2
36,1574206753799,53,262,241407200,720,324,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
37,1574206754999,8,248,441513600,406,111,-1.0,-1.0,MineSweeperGui.java,3,MineSweeperGui.setCheating,Comment,2
38,1574206757317,16,249,276518800,446,128,-1.0,-1.0,MineSweeperGui.java,3,MineSweeperGui.setCheating,Method_Body,2
39,1574206757594,14,250,654855500,448,146,-1.0,-1.0,MineSweeperGui.java,3,MineSweeperGui.setCheating,Method_Body,2
41,1574206767394,33,266,200036600,584,371,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
43,1574206770744,24,267,125129600,512,397,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
44,1574206771261,22,267,157783200,500,396,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
47,1574206776047,32,249,61487800,569,125,0.135391666667,0.232278333333,MineSweeperGui.java,9,MineSweeperGui.setCheating,Method_Body,2
48,1574206777486,26,260,113158100,534,287,0.263664444444,0.363236666667,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
49,1574206784560,29,262,216818900,557,323,-0.808351111111,0.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
