,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
0,1564087166279,1,1,218139300,358,114,0.812711111111,0.8190077777779999,MineSweeperGui.java,0,MineSweeperGui.Imports,NONE,1
1,1564087166896,13,48,375397300,433,392,0.64342,0.23893850000000005,MineSweeperGui.java,18,MineSweeperGui.ClassHeader,Member_Variable,1
3,1564087167546,18,1,175024200,472,115,0.15463588235300002,0.08609176470589999,MineSweeperGui.java,0,MineSweeperGui.Imports,NONE,1
4,1564087170413,11,6,153267700,428,127,-0.16845,-0.08900076923080001,MineSweeperGui.java,0,MineSweeperGui.Imports,NONE,1
5,1564087170580,3,1,774870100,377,110,0.398648780488,0.385059512195,MineSweeperGui.java,0,MineSweeperGui.Imports,NONE,1
6,1564087171671,10,2,316156400,422,127,0.243287647059,0.343822352941,MineSweeper.java,0,MineSweeper.BugReport,Bug_Report,1
8,1564087173820,14,44,525214500,427,326,-0.317384761905,-0.267481428571,MineSweeperGui.java,32,MineSweeperGui.ClassHeader,Member_Variable,1
10,1564087174924,23,45,1271088500,515,347,0.121143092784,0.139903608247,MineSweeperGui.java,32,MineSweeperGui.ClassHeader,Member_Variable,1
11,1564087176254,11,45,216458700,428,348,0.459634,0.459523,MineSweeperGui.java,32,MineSweeperGui.ClassHeader,Member_Variable,1
12,1564087176512,4,45,141784500,381,344,-1.0,-1.0,MineSweeperGui.java,32,MineSweeperGui.ClassHeader,Member_Variable,1
13,1564087176704,23,45,75255800,512,347,0.224748888889,0.210743333333,MineSweeperGui.java,32,MineSweeperGui.ClassHeader,Member_Variable,1
14,1564087177530,24,45,685788900,516,353,0.0224727777778,0.024867962963,MineSweeperGui.java,32,MineSweeperGui.ClassHeader,Member_Variable,1
15,1564087180111,26,111,333614600,535,350,0.349894583333,0.362807916667,MineSweeperGui.java,22,MineSweeperGui.MineSweeperGui,Comment,1
16,1564087180487,15,140,407888200,444,285,0.170944883721,0.173568139535,MineSweeperGui.java,8,MineSweeperGui.MineSweeperGui,Method_Body,1
