,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
1,1565033717273,13,9,89874400,447,185,-0.5,0.87155,MineSweeper.java,13,MineSweeper.Imports,NONE,1
3,1565033717763,3,2,735662400,377,122,-0.1897153125,0.2316978125,MineSweeper.java,4,MineSweeper.BugReport,Bug_Report,1
4,1565033718524,18,3,133613500,473,143,-0.31502692307700003,0.15005615384600002,MineSweeper.java,4,MineSweeper.BugReport,Bug_Report,1
9,1565033720586,8,3,299969400,420,145,0.180341428571,0.264015238095,MineSweeper.java,4,MineSweeper.BugReport,Bug_Report,1
10,1565033720953,10,7,191514600,412,207,0.0843,-0.051795000000000015,MineSweeper.java,5,MineSweeper.Imports,NONE,1
13,1565033721706,14,2,141569300,440,128,-0.714285714286,0.07815857142860001,MineSweeper.java,4,MineSweeper.BugReport,Bug_Report,1
14,1565033721994,8,2,108130400,405,132,0.0,0.8621850000000001,MineSweeper.java,4,MineSweeper.BugReport,Bug_Report,1
15,1565033722637,7,2,766417600,402,129,0.206198571429,0.289512142857,MineSweeper.java,4,MineSweeper.BugReport,Bug_Report,1
16,1565033723782,15,29,289589700,451,409,0.0959130769231,0.176573846154,MineSweeper.java,3,MineSweeper.main,Comment,1
17,1565033724154,24,25,83398600,515,380,-0.875,-0.5352175,MineSweeper.java,11,MineSweeper.main:Comment,Comment,1
18,1565033724378,31,25,401234000,566,381,-0.26400949999999995,-0.053502,MineSweeper.java,11,MineSweeper.main:Comment,Comment,1
19,1565033733312,21,267,179130600,499,357,-0.8,-0.255784,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,1
20,1565033733605,14,259,146783300,446,234,0.171840357143,0.326264642857,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Comment,1
22,1565033733945,26,269,245639500,533,371,-0.47598,-0.000120833333333,MineSweeperGui.java,52,MineSweeperGui.updateCheat,Method_Body,1
23,1565033734677,10,268,308274200,414,367,-1.0,-1.0,MineSweeperGui.java,52,MineSweeperGui.updateCheat,Method_Body,1
24,1565033738161,18,262,150062000,474,274,-0.221156842105,-0.0189584210526,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,1
26,1565033740175,13,265,1249942100,452,294,-0.423638770492,-0.142714016393,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
27,1565033741685,13,266,91293100,432,327,-0.888888888889,-0.6558988888889999,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
29,1565033742335,37,267,483022500,619,349,-0.975,-0.911853,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
30,1565033742869,24,268,380305200,515,360,-0.2,1.894661,MineSweeperGui.java,52,MineSweeperGui.updateCheat,Method_Body,2
31,1565033743503,15,267,448548100,458,346,-1.0,-1.0,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
32,1565033743977,8,267,308424200,408,343,-0.8387096774189999,-0.442665483871,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
33,1565033744493,28,266,166305200,547,324,-0.4,0.421608,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
34,1565033747255,22,269,879253900,489,388,-0.821428571429,-0.385291428571,MineSweeperGui.java,52,MineSweeperGui.updateCheat,Method_Body,2
