,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
1,1575410538751,16,60,128416100,519,313,-0.545454545455,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
2,1575410538979,7,60,221947800,457,316,-1.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
3,1575410539324,16,60,168246800,524,316,-0.8571428571430001,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
4,1575410539800,6,44,299015800,453,233,0.0,-1.0,MineSweeperBoard.java,40,MineSweeperBoard.ClassHeader,Member_Variable,1
8,1575410544728,12,31,87515000,466,203,0.0,-1.0,MineSweeper.java,6,MineSweeper.main,Comment,1
10,1575410546830,8,59,81391100,462,437,-1.0,0.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
11,1575410546964,24,58,73622700,574,426,-1.0,0.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
12,1575410548144,16,60,155895800,527,454,0.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
13,1575410548524,29,63,77085600,609,502,0.0,-1.0,MineSweeperBoard.java,13,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
14,1575410548759,15,64,212676900,528,510,-0.5714285714289999,-0.8571428571430001,MineSweeperBoard.java,13,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
15,1575410549095,7,64,167055600,473,510,0.0,-1.0,MineSweeperBoard.java,13,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
17,1575410550275,25,69,183448400,608,589,-0.166666666667,-1.0,MineSweeperBoard.java,11,MineSweeperBoard.MineSweeperBoard(int int int int),Comment,1
18,1575410550460,25,70,375236300,615,609,0.0,-1.0,MineSweeperBoard.java,11,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
20,1575410551757,50,70,203053200,777,599,0.0,-1.0,MineSweeperBoard.java,11,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
21,1575410552157,41,70,94500300,717,601,0.0,-1.0,MineSweeperBoard.java,11,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
22,1575410552451,27,70,172241000,629,603,0.0,-1.0,MineSweeperBoard.java,11,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
23,1575410552725,24,71,240382900,603,610,0.0,-1.0,MineSweeperBoard.java,11,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
28,1575410554088,14,71,144365100,529,632,0.0,-1.0,MineSweeperBoard.java,11,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
29,1575410554335,33,70,141563700,658,609,-0.3,-1.0,MineSweeperBoard.java,11,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
30,1575410554604,41,70,108488400,717,601,0.0,-1.0,MineSweeperBoard.java,11,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
31,1575410554838,33,69,447044800,659,603,-0.117647058824,-0.941176470588,MineSweeperBoard.java,11,MineSweeperBoard.MineSweeperBoard(int int int int),Comment,1
32,1575410555405,23,69,124719600,598,581,0.0,-1.0,MineSweeperBoard.java,11,MineSweeperBoard.MineSweeperBoard(int int int int),Comment,1
33,1575410555625,30,69,133366300,642,590,0.0,-1.0,MineSweeperBoard.java,11,MineSweeperBoard.MineSweeperBoard(int int int int),Comment,1
35,1575410557538,11,67,144417500,513,560,-0.428571428571,-0.8571428571430001,MineSweeperBoard.java,19,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
36,1575410557713,20,67,294802100,571,563,0.0,-1.0,MineSweeperBoard.java,19,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
37,1575410558057,31,67,400705900,649,558,0.0,-1.0,MineSweeperBoard.java,19,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
38,1575410558552,43,69,1159765600,738,598,0.0,-1.0,MineSweeperBoard.java,11,MineSweeperBoard.MineSweeperBoard(int int int int),Comment,1
40,1575410561571,38,67,450922400,700,564,0.0,-1.0,MineSweeperBoard.java,19,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
41,1575410562120,24,63,333513600,576,494,0.0,-1.0,MineSweeperBoard.java,13,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
42,1575410567877,22,60,85838000,542,635,0.0,0.904885,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
44,1575410580361,39,67,100253800,706,560,0.0,-1.0,MineSweeperBoard.java,19,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
45,1575410580509,35,67,93060700,679,561,0.0,-1.0,MineSweeperBoard.java,19,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
46,1575410581667,5,60,99983500,443,456,0.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
47,1575410581842,27,59,74974600,596,437,0.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
49,1575410583660,12,71,368159500,516,618,0.0,-1.0,MineSweeperBoard.java,11,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
53,1575410585444,7,81,423265200,458,647,-0.08333333333330001,-0.916666666667,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int):Comment,Comment,1
54,1575410585992,22,82,535087000,557,654,0.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int):Comment,Comment,1
56,1575410587788,12,80,236175700,493,625,0.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int):Comment,Comment,1
