ParticipantID,Gender,Accuracy,Phase,Entity,EntityNum,Percentage_B1,Percentage_B2,Percentage_Avg
P201,M,1,2,Method_Signature,4,0.03,0.01,0.02
P201,M,1,3,Member_Variable,0,0.01,0,0.005
P201,M,1,3,Comment,1,0.27,0.16,0.215
P201,M,1,3,Class_Signature,2,0,0,0
P201,M,1,3,Method_Body,3,0.7,0.84,0.77
P201,M,1,3,Method_Signature,4,0.02,0,0.01
P202,M,1,1,Member_Variable,0,NA,0.1,0.05
P202,M,1,1,Comment,1,NA,0.24,0.12
P202,M,1,1,Class_Signature,2,NA,0,0
P202,M,1,1,Method_Body,3,NA,0.58,0.29
P202,M,1,1,Method_Signature,4,NA,0.08,0.04
P202,M,1,2,Member_Variable,0,0.09,0.01,0.03
P202,M,1,2,Comment,1,0.11,0.29,0.22
P202,M,1,2,Class_Signature,2,0,0,0
P202,M,1,2,Method_Body,3,0.8,0.7,0.75
P202,M,1,2,Method_Signature,4,0,0,0
P202,M,1,3,Member_Variable,0,0,0,0
P202,M,1,3,Comment,1,0.02,0.48,0.25
P202,M,1,3,Class_Signature,2,0,0,0
P202,M,1,3,Method_Body,3,0.98,0.52,0.75
P202,M,1,3,Method_Signature,4,NA,0,0
P203,F,1,1,Member_Variable,0,NA,0.14,0.07
P203,F,1,1,Comment,1,NA,0.17,0.085
P203,F,1,1,Class_Signature,2,NA,0,0
P203,F,1,1,Method_Body,3,NA,0.61,0.305
P203,F,1,1,Method_Signature,4,NA,0.08,0.04
P203,F,1,2,Member_Variable,0,0.09,0,0.045
P203,F,1,2,Comment,1,0.08,0.15,0.115
P203,F,1,2,Class_Signature,2,0,0,0
P203,F,1,2,Method_Body,3,0.83,0.85,0.84
P203,F,1,2,Method_Signature,4,0,0,0
P203,F,1,3,Member_Variable,0,0,0,0
P203,F,1,3,Comment,1,0,0.44,0.22
P203,F,1,3,Class_Signature,2,0,0,0
P203,F,1,3,Method_Body,3,1,0.56,0.78
P203,F,1,3,Method_Signature,4,0,0,0
P204,F,1,1,Member_Variable,0,0,0.04,0.02
P204,F,1,1,Comment,1,0.04,0.22,0.125
P204,F,1,1,Class_Signature,2,0,0,0
P204,F,1,1,Method_Body,3,0.94,0.72,0.83
P204,F,1,1,Method_Signature,4,0.02,0.02,0.02
P204,F,1,2,Member_Variable,0,0.04,0,0.02
P204,F,1,2,Comment,1,0.13,0.16,0.145
P204,F,1,2,Class_Signature,2,0,0,0
P204,F,1,2,Method_Body,3,0.82,0.84,0.83
P204,F,1,2,Method_Signature,4,0.01,0,0.005
P204,F,1,3,Member_Variable,0,0,0,0
P204,F,1,3,Comment,1,0.1,0.4,0.25
P204,F,1,3,Class_Signature,2,0,0,0
P204,F,1,3,Method_Body,3,0.86,0.6,0.73
P204,F,1,3,Method_Signature,4,0.04,0,0.02
P205,M,0,1,Member_Variable,0,0.02,0.03,0.025
P205,M,0,1,Comment,1,0.26,0.15,0.205
P205,M,0,1,Class_Signature,2,0,0,0
P205,M,0,1,Method_Body,3,0.71,0.82,0.765
P205,M,0,1,Method_Signature,4,0.01,0,0.005
P205,M,0,2,Member_Variable,0,0.08,0.02,0.025
P205,M,0,2,Comment,1,0.1,0.31,0.23
P205,M,0,2,Class_Signature,2,0,0,0
P205,M,0,2,Method_Body,3,0.82,0.67,0.745
P205,M,0,2,Method_Signature,4,0,0,0
P205,M,0,3,Member_Variable,0,NA,0.01,0.005
P205,M,0,3,Comment,1,NA,0.22,0.11
P205,M,0,3,Class_Signature,2,NA,0,0
P205,M,0,3,Method_Body,3,NA,0.76,0.38
P205,M,0,3,Method_Signature,4,NA,0.01,0.005
P206,M,1,1,Member_Variable,0,0.12,0.38,0.25
P206,M,1,1,Comment,1,0.18,0.14,0.16
P206,M,1,1,Class_Signature,2,0,0.1,0.05
P206,M,1,1,Method_Body,3,0.7,0.29,0.495
P206,M,1,1,Method_Signature,4,0,0.09,0.045
P206,M,1,2,Member_Variable,0,0.09,0.05,0.05
P206,M,1,2,Comment,1,0.14,0.23,0.205
P206,M,1,2,Class_Signature,2,0,0,0
P206,M,1,2,Method_Body,3,0.76,0.68,0.72
P206,M,1,2,Method_Signature,4,0.01,0.04,0.025
P206,M,1,3,Member_Variable,0,0.01,NA,0.005
P206,M,1,3,Comment,1,0.36,NA,0.18
P206,M,1,3,Class_Signature,2,0,NA,0
P206,M,1,3,Method_Body,3,0.61,NA,0.305
P206,M,1,3,Method_Signature,4,0.02,NA,0.01
P207,F,0,1,Member_Variable,0,0.02,0.03,0.025
P207,F,0,1,Comment,1,0.27,0.16,0.215
P207,F,0,1,Class_Signature,2,0,0,0
P207,F,0,1,Method_Body,3,0.7,0.81,0.755
P207,F,0,1,Method_Signature,4,0.01,0,0.005
P207,F,0,2,Member_Variable,0,0,0.01,0.005
P207,F,0,2,Comment,1,0.1,0.25,0.175
P207,F,0,2,Class_Signature,2,0,0,0
