,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
4,1564515629158,22,267,524779800,493,476,0.250817924528,0.325713207547,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
5,1564515629750,34,267,216648000,588,474,0.563348636364,0.6551240909089999,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
6,1564515630066,42,267,175416800,644,472,0.274799166667,0.308100833333,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
7,1564515630299,35,267,116638100,593,471,0.43348,0.479595,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
8,1564515630533,14,267,158238900,450,470,0.561072352941,0.645280588235,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
9,1564515630708,19,267,633248900,477,473,0.311938545455,0.379363090909,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
10,1564515631380,21,263,1054167500,506,404,0.307285913043,0.384124695652,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
11,1564515632467,24,267,99849700,519,481,0.0227663636364,0.0544954545455,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
12,1564515632583,17,261,159156900,471,383,0.287277,0.352486,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
13,1564515632766,27,262,266563100,537,402,0.1737859375,0.222861875,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
15,1564515633391,17,261,219979900,466,375,0.256542592593,0.308524074074,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
19,1564515641147,15,280,141636700,453,548,0.177083125,0.220043125,MineSweeperGui.java,32,MineSweeperGui.resetButtons,Method_Body,2
20,1564515641315,10,280,243534800,417,547,0.259541,0.30490100000000003,MineSweeperGui.java,32,MineSweeperGui.resetButtons,Method_Body,2
23,1564515643914,23,258,157987900,511,424,0.8687174999999999,0.9355,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Signature,2
24,1564515644072,23,265,137978400,508,526,0.253454,0.298457333333,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
25,1564515644286,27,266,245568700,537,554,0.264883809524,0.314261428571,MineSweeperGui.java,2,MineSweeperGui.updateCheat,Method_Body,2
26,1564515644558,21,261,779182900,490,475,0.276141914894,0.333383191489,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
27,1564515645360,24,261,1689770500,530,548,0.29521308510600003,0.35563111702100003,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
