,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
0,1563986919996,12,266,100067100,435,410,-1.0,-0.777777777778,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
1,1563986920127,17,267,266791400,476,426,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
2,1563986920654,16,265,142773700,459,393,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
3,1563986920918,35,264,130361600,595,388,-0.8571428571430001,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Comment,2
4,1563986921177,14,260,215612400,450,326,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
5,1563986921424,14,261,377355600,443,330,-1.0,-0.935483870968,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
6,1563986921821,18,260,199671100,474,319,-0.9375,-0.75,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
7,1563986922071,12,266,66950200,437,409,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
8,1563986922493,25,267,160422900,525,425,-0.8571428571430001,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
9,1563986922654,31,267,242833100,566,432,-0.8235294117649999,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
10,1563986922990,31,267,585688500,557,431,-0.935483870968,-0.935483870968,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
12,1563986927545,15,259,201992600,455,302,-1.0,-0.8,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Comment,2
13,1563986927888,21,259,175085500,499,303,-1.0,-0.9,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Comment,2
14,1563986929595,27,262,67373700,540,357,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
15,1563986929763,26,265,104784400,533,396,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
16,1563986929925,27,265,94980400,542,397,-0.714285714286,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
17,1563986930097,29,267,129107600,549,427,-0.714285714286,-0.8571428571430001,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
18,1563986930345,14,279,141849100,442,613,-0.6,-0.8,MineSweeperGui.java,22,MineSweeperGui.resetButtons,Method_Body,2
20,1563986930962,25,277,74792400,521,577,0.0,-1.0,MineSweeperGui.java,11,MineSweeperGui.resetButtons,Method_Body,2
21,1563986931112,12,280,199977700,434,621,0.0,-1.0,MineSweeperGui.java,22,MineSweeperGui.resetButtons,Method_Body,2
22,1563986932249,39,266,224701600,626,421,-1.0,-0.9,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
23,1563986932945,10,266,75013800,423,415,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
24,1563986933045,8,265,141848200,405,394,-0.833333333333,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
25,1563986933220,29,265,66437600,557,393,-1.0,-0.75,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
26,1563986933576,27,266,235102700,546,411,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
27,1563986934037,35,267,83264800,590,429,-1.0,-0.833333333333,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
28,1563986934512,13,267,202011300,432,419,-0.928571428571,-0.928571428571,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
30,1563986935646,27,267,199429700,539,431,-0.846153846154,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
31,1563986935888,12,267,106561800,438,424,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
32,1563986936069,15,267,200064900,445,426,-1.0,-0.75,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
33,1563986939444,16,332,266774100,458,328,-1.0,-0.941176470588,MineSweeperGui.java,12,MineSweeperGui.actionPerformed,Method_Body,2
34,1563986939819,18,332,66582000,476,338,-1.0,-0.833333333333,MineSweeperGui.java,12,MineSweeperGui.actionPerformed,Method_Body,2
35,1563986939944,20,331,279864900,497,323,-1.0,-0.8235294117649999,MineSweeperGui.java,12,MineSweeperGui.actionPerformed,Method_Body,2
37,1563986940711,14,328,85870300,448,286,-1.0,-0.875,MineSweeperGui.java,4,MineSweeperGui.actionPerformed,Method_Body,2
38,1563986940835,19,330,137297000,485,306,-1.0,-1.0,MineSweeperGui.java,12,MineSweeperGui.actionPerformed,Comment,2
39,1563986941000,15,328,199401700,456,274,-1.0,-0.875,MineSweeperGui.java,4,MineSweeperGui.actionPerformed,Method_Body,2
40,1563986941224,13,328,420670200,432,278,-0.965517241379,-0.931034482759,MineSweeperGui.java,4,MineSweeperGui.actionPerformed,Method_Body,2
41,1563986941760,26,326,900927700,536,248,-0.981132075472,-0.943396226415,MineSweeperGui.java,4,MineSweeperGui.actionPerformed,Method_Body,2
42,1563986942662,18,328,82440800,473,275,-1.0,-1.0,MineSweeperGui.java,4,MineSweeperGui.actionPerformed,Method_Body,2
43,1563986942786,17,331,933113400,474,321,-0.962962962963,-0.944444444444,MineSweeperGui.java,12,MineSweeperGui.actionPerformed,Method_Body,2
44,1563986945512,14,332,123442000,445,327,-1.0,-0.8181818181820001,MineSweeperGui.java,12,MineSweeperGui.actionPerformed,Method_Body,2
45,1563986945661,14,332,132974900,444,339,-1.0,-0.916666666667,MineSweeperGui.java,12,MineSweeperGui.actionPerformed,Method_Body,2
50,1563986947943,21,277,66762800,496,338,-1.0,-0.4,MineSweeperGui.java,11,MineSweeperGui.resetButtons,Method_Body,2
51,1563986948135,20,277,124985400,492,342,-1.0,-0.75,MineSweeperGui.java,11,MineSweeperGui.resetButtons,Method_Body,2
54,1563986950693,21,261,67002000,494,338,-0.75,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
55,1563986951460,20,260,132959000,494,313,-1.0,-0.8,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
56,1563986953267,25,265,116859900,524,394,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
57,1563986953464,25,267,270508800,525,427,-0.9375,-0.6875,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
58,1563986954018,14,266,74881900,452,407,-1.0,-0.833333333333,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
59,1563986954167,14,267,141634100,432,424,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
60,1563986954492,16,261,400417800,464,335,-0.969696969697,-0.969696969697,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
61,1563986954917,24,262,216794100,511,343,-1.0,-0.944444444444,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
62,1563986955288,27,267,328798000,534,431,-1.0,-0.9,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
63,1563986955647,36,267,117028300,593,425,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
64,1563986956117,43,262,91478500,650,347,-1.0,-0.5,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
65,1563986956674,44,266,118902000,656,412,-1.0,-0.75,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
66,1563986956984,47,262,208465300,685,347,-1.0,-0.5,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
67,1563986957535,39,260,132076600,623,320,-0.8,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
68,1563986957871,36,263,96326800,601,372,-0.8,-0.8,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
70,1563986958347,25,261,386716200,527,334,-1.0,-0.96875,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
71,1563986958767,34,262,66764600,588,348,-1.0,-0.6,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
72,1563986959018,45,262,224591000,669,352,-1.0,-0.75,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
73,1563986959741,26,260,241823900,532,326,-0.9,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
74,1563986960011,26,261,171653200,533,345,-1.0,-0.8666666666670001,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
75,1563986960542,26,267,125311800,535,429,-0.888888888889,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
76,1563986960758,34,266,75450800,581,397,-1.0,-0.714285714286,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
77,1563986962058,20,262,158132700,493,349,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
78,1563986962243,20,262,274780800,491,352,-1.0,-0.894736842105,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
79,1563986962666,27,267,74810900,536,419,-1.0,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
80,1563986963169,29,260,219104000,559,313,-0.9,-0.9,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
81,1563986964083,24,45,83012700,519,304,-0.8571428571430001,-1.0,MineSweeperGui.java,14,MineSweeperGui.ClassHeader,Member_Variable,2
83,1563986964307,19,45,408142300,468,310,-0.931034482759,-1.0,MineSweeperGui.java,14,MineSweeperGui.ClassHeader,Member_Variable,2
86,1563986965408,7,45,283231100,396,310,-0.954545454545,-0.954545454545,MineSweeperGui.java,14,MineSweeperGui.ClassHeader,Member_Variable,2
88,1563986966259,12,42,61187200,430,250,-1.0,-1.0,MineSweeperGui.java,7,MineSweeperGui.ClassHeader,Member_Variable,2
91,1563986967484,27,53,60224400,539,432,-0.833333333333,-1.0,MineSweeperGui.java,2,MineSweeperGui.ClassHeader,Member_Variable,2
92,1563986967707,26,29,249967200,535,431,-0.8181818181820001,-1.0,MineSweeper.java,2,MineSweeper.main,Comment,2
94,1563986969036,21,34,123437400,504,503,-0.7,-0.9,MineSweeper.java,4,MineSweeper.main,Method_Body,2
95,1563986971708,16,259,337446100,462,311,-1.0,-0.952380952381,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Comment,2
