,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
0,1564436329425,9,12,150000000,428,188,0.465179230769,0.451075384615,MineGenerator.java,1,MineGenerator.ClassBody,Method_Signature,1
1,1564436329591,11,12,133392200,439,187,0.77109875,0.7658275,MineGenerator.java,1,MineGenerator.ClassBody,Method_Signature,1
2,1564436329850,11,12,108318100,450,208,-1.0,-1.0,MineGenerator.java,1,MineGenerator.ClassBody,Method_Signature,1
3,1564436330350,6,13,141940300,401,215,1.006378,0.8777299999999999,MineGenerator.java,1,MineGenerator.ClassBody,NONE,1
4,1564436330858,7,13,141843200,411,214,0.543145,0.534958333333,MineGenerator.java,1,MineGenerator.ClassBody,NONE,1
6,1564436331916,11,16,175228800,429,316,1.14664,1.12031461538,MineSweeper.java,13,MineSweeper.ClassComment,Comment,1
7,1564436332149,19,25,201023500,480,378,0.271962777778,0.281393888889,MineSweeper.java,7,MineSweeper.main:Comment,Comment,1
8,1564436332366,19,25,108670500,477,383,0.243776363636,0.243490909091,MineSweeper.java,7,MineSweeper.main:Comment,Comment,1
10,1564436332867,28,23,74695200,546,368,0.782467,0.773988,MineSweeper.java,5,MineSweeper.ClassHeader,Member_Variable,1
13,1564436335220,23,32,229861800,507,447,0.657043888889,0.611413888889,MineSweeper.java,2,MineSweeper.main,Method_Body,1
14,1564436335513,18,25,211391600,474,387,0.71844,0.729487894737,MineSweeper.java,7,MineSweeper.main:Comment,Comment,1
15,1564436335783,25,26,168904700,525,404,0.8827424999999999,0.906175833333,MineSweeper.java,7,MineSweeper.main:Comment,Comment,1
16,1564436336041,19,35,297475300,491,481,0.361354782609,0.38383826087,MineSweeper.java,9,MineSweeper.main,Method_Body,1
17,1564436336365,17,36,100058400,466,422,0.479202222222,0.5022355555560001,MineSweeper.java,9,MineSweeper.main,Method_Body,1
18,1564436336540,18,36,68446900,476,423,0.256242857143,0.275244285714,MineSweeper.java,9,MineSweeper.main,Method_Body,1
19,1564436336671,21,50,203237100,494,605,0.207985454545,0.224785454545,MineSweeper.java,3,MineSweeper.newGame:Comment,Comment,1
20,1564436336891,18,59,250124300,481,621,0.575816129032,0.599166774194,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
21,1564436337191,23,58,333422000,511,532,0.8192616666670001,0.8436600000000001,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
23,1564436338173,17,81,233447400,464,561,0.96551125,0.97899375,MineSweeper.java,14,MineSweeper.customGame,Method_Body,1
25,1564436338690,23,102,335144700,507,566,0.591478461538,0.612507435897,MineSweeper.java,8,MineSweeper.startGame,Comment,1
26,1564436339071,24,101,303189300,521,541,0.426851785714,0.446164642857,MineSweeper.java,8,MineSweeper.startGame,Method_Body,1
27,1564436343898,20,54,184553800,492,131,0.820245555556,0.8221772222220001,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
28,1564436345599,21,53,349878400,495,129,0.772218125,0.785225,MineSweeper.java,0,MineSweeper.newGame,Comment,1
30,1564436346631,11,12,358412400,437,210,0.8140947619050001,0.8219447619050001,MineGenerator.java,1,MineGenerator.ClassBody,Method_Signature,1
32,1564436360888,5,13,216683100,408,217,-0.0659485714286,-0.0671014285714,MineGenerator.java,1,MineGenerator.ClassBody,NONE,1
34,1564436362498,4,53,131144700,372,129,0.384381176471,0.3984441176470001,MineSweeper.java,0,MineSweeper.newGame,Comment,1
36,1564436362854,18,57,263613400,477,185,0.64154125,0.6402625,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
37,1564436363138,19,48,508243500,481,122,0.6078183333330001,0.58189,MineSweeper.java,3,MineSweeper.newGame:Comment,Comment,1
38,1564436363866,12,12,163578800,433,167,1.03344529412,1.03933058824,MineSweeper.java,11,MineSweeper.Imports,NONE,1
39,1564436365076,10,16,74994500,422,321,0.5964649999999999,0.611968333333,MineSweeper.java,13,MineSweeper.ClassComment,Comment,1
40,1564436366279,10,4,201470400,420,148,0.3806685,0.3788585,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
41,1564436367279,20,4,251112800,483,155,0.531956428571,0.533810357143,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
42,1564436368270,20,4,209585300,490,163,0.479481818182,0.479947272727,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
43,1564436368500,31,3,180975300,571,142,-0.16663727272700002,-0.147007272727,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
44,1564436368731,64,3,181819000,794,142,0.893495,0.8859229999999999,MineSweeper.java,10,MineSweeper.BugReport,Bug_Report,1
46,1564436371837,7,9,132296100,398,227,0.687260588235,0.6936717647059999,MineSweeper.java,4,MineSweeper.Imports,NONE,1
47,1564436372011,18,4,200012400,473,149,0.7132276,0.7271964,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
48,1564436372228,14,4,333185300,457,158,0.713045263158,0.726909210526,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
49,1564436372615,10,3,283695200,423,141,0.578616571429,0.582302857143,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
50,1564436373746,13,3,314986100,440,128,0.3750596,0.3800488,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
51,1564436374886,23,4,158580700,513,153,0.490511333333,0.493052666667,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
52,1564436375061,3,5,200199700,368,167,0.6208308000000001,0.6147975999999999,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
53,1564436375474,18,5,86860200,477,176,0.49323,0.475575,MineSweeper.java,1,MineSweeper.BugReport,Bug_Report,1
