,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
0,1563978629554,9,3,261706100,407,135,0.0,-1.0,MineGenerator.java,0,MineGenerator.Imports,NONE,1
1,1563978629912,11,3,200717500,417,141,0.0,-1.0,MineGenerator.java,0,MineGenerator.Imports,NONE,1
2,1563978630363,15,9,103397300,458,168,0.0,-1.0,MineGenerator.java,1,MineGenerator.ClassBody,Class_Signature,1
4,1563978630836,10,10,513965900,431,175,0.0,-1.0,MineGenerator.java,1,MineGenerator.ClassBody,Member_Variable,1
5,1563978631427,10,13,256658600,435,210,0.0,-1.0,MineGenerator.java,2,MineGenerator.ClassBody,NONE,1
8,1563978639610,17,47,74962000,489,478,-1.0,-1.0,MineSweeperBoard.java,23,MineSweeperBoard.ClassHeader,Member_Variable,1
10,1563978640018,20,60,117562700,515,489,-1.0,-1.0,MineSweeperBoard.java,5,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
12,1563978640483,15,70,150626800,492,456,0.0,-1.0,MineSweeperBoard.java,6,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
13,1563978640658,14,70,183220000,487,450,0.0,-1.0,MineSweeperBoard.java,6,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
14,1563978642953,14,64,133191300,480,360,-0.0909090909091,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
15,1563978643128,9,67,679860300,454,411,0.0,-1.0,MineSweeperBoard.java,14,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
16,1563978644341,32,63,71894200,595,349,-1.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
18,1563978644839,28,70,84711100,588,451,-0.8,-1.0,MineSweeperBoard.java,6,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
19,1563978645188,9,67,523739800,456,415,-1.0,-1.0,MineSweeperBoard.java,14,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
20,1563978646590,31,71,96841300,610,462,-1.0,0.0,MineSweeperBoard.java,6,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
24,1563978648141,36,71,558299700,635,476,-1.0,-0.952380952381,MineSweeperBoard.java,6,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
25,1563978648975,56,71,195373500,793,475,-1.0,-1.0,MineSweeperBoard.java,6,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
26,1563978649442,35,71,282814400,639,467,-1.0,-1.0,MineSweeperBoard.java,6,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
27,1563978649767,16,71,433047200,489,470,-1.0,-1.0,MineSweeperBoard.java,6,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
28,1563978650575,15,73,425041500,502,492,-1.0,-1.0,MineSweeperBoard.java,19,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
34,1563978653138,12,67,299834600,478,413,0.0,-1.0,MineSweeperBoard.java,14,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
35,1563978653466,20,67,250191700,534,408,0.0,-1.0,MineSweeperBoard.java,14,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
36,1563978653767,30,67,308217000,609,408,0.0,-1.0,MineSweeperBoard.java,14,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
38,1563978654589,15,64,373537700,484,362,0.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
39,1563978655037,32,67,191594600,612,409,0.0,-1.0,MineSweeperBoard.java,14,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
41,1563978656316,27,63,83785900,561,355,-1.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
42,1563978656475,19,64,100664300,519,362,-0.428571428571,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
43,1563978656717,16,64,283016800,495,362,-0.521739130435,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
44,1563978657116,10,64,208597300,453,358,-0.5,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
45,1563978657516,19,64,183793600,523,364,-0.533333333333,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
47,1563978658392,16,78,182616400,474,573,-0.333333333333,-1.0,MineSweeperBoard.java,1,MineSweeperBoard.MineSweeperBoard(int int int):Comment,Comment,1
