,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
1,1563985406812,30,47,199801400,585,114,-1.0,-1.0,MineSweeperBoard.java,6,MineSweeperBoard.ClassHeader,Member_Variable,1
2,1563985407054,28,47,187719500,571,107,-1.0,-1.0,MineSweeperBoard.java,6,MineSweeperBoard.ClassHeader,Member_Variable,1
3,1563985407491,11,47,253901500,447,106,-1.0,-1.0,MineSweeperBoard.java,6,MineSweeperBoard.ClassHeader,Member_Variable,1
4,1563985407854,37,47,207546400,640,111,-1.0,-1.0,MineSweeperBoard.java,6,MineSweeperBoard.ClassHeader,Member_Variable,1
5,1563985408506,5,47,107213700,410,105,-1.0,-1.0,MineSweeperBoard.java,6,MineSweeperBoard.ClassHeader,Member_Variable,1
6,1563985409137,22,63,91706800,534,348,-1.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
7,1563985409387,29,63,175520200,575,353,-1.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
8,1563985409750,43,63,232493100,671,353,-1.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
9,1563985410058,38,63,279314200,631,352,-1.0,-0.909090909091,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
10,1563985410437,58,63,119586200,775,349,-1.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
11,1563985410680,48,63,150420900,706,345,-0.875,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
12,1563985410903,53,63,151854500,742,346,-0.833333333333,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
13,1563985411087,64,63,174432800,825,346,-0.555555555556,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
14,1563985411312,64,63,466716300,821,353,-0.941176470588,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
15,1563985412664,74,63,672992500,891,356,-1.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
16,1563985413745,23,66,73918000,552,376,-1.0,-1.0,MineSweeperBoard.java,8,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
18,1563985414336,8,67,117065400,452,410,-0.125,-1.0,MineSweeperBoard.java,8,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
19,1563985415428,16,67,125532700,505,417,-0.14285714285700002,-1.0,MineSweeperBoard.java,8,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
23,1563985416503,19,71,99731000,521,469,-0.666666666667,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
24,1563985416637,19,71,117418200,526,464,-1.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
25,1563985416815,27,71,245483400,580,464,-0.95,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
26,1563985417156,37,70,172821300,653,454,-1.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
27,1563985417412,44,71,342666200,699,476,-0.947368421053,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
31,1563985418537,24,67,90566500,558,410,-0.833333333333,-1.0,MineSweeperBoard.java,8,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
35,1563985421831,17,81,74066000,489,629,-0.2,-1.0,MineSweeperBoard.java,0,MineSweeperBoard.MineSweeperBoard(int int int):Comment,Comment,1
37,1563985423208,13,64,152767100,480,369,-0.8571428571430001,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
38,1563985423386,17,63,74639000,505,353,-1.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
39,1563985423585,26,63,167696400,557,349,-1.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
41,1563985424427,7,85,125274800,427,683,-0.5,-1.0,MineSweeperBoard.java,5,MineSweeperBoard.MineSweeperBoard(int int int),Method_Body,1
44,1563985427209,26,67,244658200,577,416,-0.666666666667,-0.916666666667,MineSweeperBoard.java,8,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
47,1563985428834,34,97,91653500,621,592,-0.4,-1.0,MineSweeperBoard.java,10,MineSweeperBoard.generateMines(Space),Method_Body,1
49,1563985429361,12,93,389835800,454,522,-0.666666666667,-0.888888888889,MineSweeperBoard.java,3,MineSweeperBoard.generateMines(Space):Comment,Comment,1
53,1563985431641,20,55,120505000,485,352,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
54,1563985431809,20,54,91817500,488,343,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
55,1563985431951,19,55,274782400,486,365,-0.6956521739129999,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
56,1563985442149,41,61,108010300,630,453,-1.0,-0.6,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
57,1563985449649,37,53,108995800,603,490,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Comment,1
58,1563985450782,30,26,91689200,552,343,-0.6,-1.0,MineSweeper.java,10,MineSweeper.main:Comment,Comment,1
60,1563985452358,44,58,74772500,652,662,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
61,1563985452707,26,55,118151500,534,623,-0.6,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
62,1563985452857,26,55,95687200,530,623,-0.2,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
63,1563985453058,36,23,217382400,598,139,-1.0,-1.0,MineSweeper.java,16,MineSweeper.ClassHeader,Member_Variable,1
65,1563985455281,46,79,66683800,663,558,0.0,-1.0,MineSweeper.java,5,MineSweeper.customGame,Method_Body,1
66,1563985455956,16,75,129990600,461,505,-0.28571428571400004,-1.0,MineSweeper.java,8,MineSweeper.customGame:Comment,Comment,1
67,1563985456153,23,75,78051900,514,501,-0.666666666667,-1.0,MineSweeper.java,8,MineSweeper.customGame:Comment,Comment,1
68,1563985456277,29,75,79427500,557,499,-0.5,-1.0,MineSweeper.java,8,MineSweeper.customGame:Comment,Comment,1
70,1563985456948,13,75,100070900,442,503,-0.5,-1.0,MineSweeper.java,8,MineSweeper.customGame:Comment,Comment,1
75,1563985458736,40,75,169778600,620,504,-0.714285714286,-1.0,MineSweeper.java,8,MineSweeper.customGame:Comment,Comment,1
76,1563985459389,38,79,73192900,615,564,-1.0,-1.0,MineSweeper.java,5,MineSweeper.customGame,Method_Body,1
77,1563985459823,24,83,82591000,512,619,-0.28571428571400004,-0.8571428571430001,MineSweeper.java,2,MineSweeper.customGame,Method_Body,1
78,1563985459930,24,87,92714700,513,679,-0.4,-0.8,MineSweeper.java,4,MineSweeper.customGame,Method_Body,1
81,1563985462503,53,82,149134400,717,488,-0.625,-1.0,MineSweeper.java,2,MineSweeper.customGame,Method_Body,1
82,1563985463047,27,87,124952800,538,555,-0.28571428571400004,-1.0,MineSweeper.java,4,MineSweeper.customGame,Method_Body,1
83,1563985464085,21,79,94575500,496,447,-0.333333333333,-1.0,MineSweeper.java,5,MineSweeper.customGame,Method_Body,1
84,1563985464230,20,79,70674500,491,442,-0.2,-1.0,MineSweeper.java,5,MineSweeper.customGame,Method_Body,1
85,1563985464332,20,79,65088300,495,440,-0.25,-1.0,MineSweeper.java,5,MineSweeper.customGame,Method_Body,1
86,1563985464430,18,79,76606700,475,441,-0.333333333333,-1.0,MineSweeper.java,5,MineSweeper.customGame,Method_Body,1
87,1563985465552,43,79,211278300,649,444,-0.8,-0.9,MineSweeper.java,5,MineSweeper.customGame,Method_Body,1
91,1563985466705,39,75,116835300,621,387,-1.0,-1.0,MineSweeper.java,8,MineSweeper.customGame:Comment,Comment,1
92,1563985467984,26,83,95594000,528,491,-0.8571428571430001,-1.0,MineSweeper.java,2,MineSweeper.customGame,Method_Body,1
93,1563985468110,24,82,174908400,516,484,-0.8181818181820001,-1.0,MineSweeper.java,2,MineSweeper.customGame,Method_Body,1
94,1563985468333,21,81,100956100,491,460,-0.8571428571430001,-0.8571428571430001,MineSweeper.java,2,MineSweeper.customGame,Method_Body,1
95,1563985468879,19,102,91690400,479,663,-0.28571428571400004,-1.0,MineSweeper.java,13,MineSweeper.startGame,Comment,1
96,1563985469322,18,65,83660200,472,108,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
97,1563985469446,11,65,200038200,424,113,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
98,1563985469762,30,79,124293600,562,324,-0.928571428571,-1.0,MineSweeper.java,5,MineSweeper.customGame,Method_Body,1
99,1563985469947,18,58,283743500,472,114,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
100,1563985470305,33,56,369935500,581,226,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
101,1563985470794,47,58,260223600,673,306,-0.9,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
102,1563985471329,53,58,224993700,721,311,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
103,1563985471654,46,61,108032700,673,349,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
104,1563985471979,55,61,116633700,734,350,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
105,1563985472180,53,58,775680700,719,307,-0.916666666667,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
106,1563985473279,52,58,174970400,710,309,-1.0,-0.8,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
107,1563985473551,51,58,210680800,706,304,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
108,1563985473780,52,58,197285700,715,307,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
109,1563985474046,51,58,274907100,701,304,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
110,1563985474426,50,58,152375400,701,306,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
111,1563985474646,28,53,182913100,545,230,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Comment,1
115,1563985479763,57,58,265330800,751,303,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
116,1563985480545,48,58,158148300,682,309,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
118,1563985481874,37,58,176619800,613,307,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
119,1563985482170,44,58,254349900,658,305,-1.0,-1.0,MineSweeper.java,0,MineSweeper.newGame,Method_Body,1
120,1563985482470,39,78,158133500,644,306,-1.0,-1.0,MineSweeperBoard.java,0,MineSweeperBoard.MineSweeperBoard(int int int):Comment,Comment,1
122,1563985485031,61,85,226792500,799,404,-1.0,-1.0,MineSweeperBoard.java,5,MineSweeperBoard.MineSweeperBoard(int int int),Method_Body,1
129,1563985488268,32,97,200072300,599,596,-0.928571428571,-0.928571428571,MineSweeperBoard.java,10,MineSweeperBoard.generateMines(Space),Method_Body,1
130,1563985489027,32,92,325081200,591,513,-1.0,-1.0,MineSweeperBoard.java,3,MineSweeperBoard.generateMines(Space):Comment,Comment,1
134,1563985490879,8,81,98097600,430,363,-1.0,-1.0,MineSweeperBoard.java,0,MineSweeperBoard.MineSweeperBoard(int int int):Comment,Comment,1
140,1563985492856,12,85,245206900,459,415,-0.933333333333,-1.0,MineSweeperBoard.java,5,MineSweeperBoard.MineSweeperBoard(int int int),Method_Body,1
142,1563985494008,33,85,218586700,611,457,-0.666666666667,-1.0,MineSweeperBoard.java,5,MineSweeperBoard.MineSweeperBoard(int int int),Method_Body,1
143,1563985494393,38,85,199871600,636,457,-0.666666666667,-1.0,MineSweeperBoard.java,5,MineSweeperBoard.MineSweeperBoard(int int int),Method_Body,1
144,1563985495128,15,71,67008000,501,248,-1.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
145,1563985495294,19,64,232759400,518,146,-0.947368421053,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
146,1563985496576,76,63,149759400,899,129,-1.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
149,1563985497417,60,85,350983900,790,456,-1.0,-1.0,MineSweeperBoard.java,5,MineSweeperBoard.MineSweeperBoard(int int int),Method_Body,1
150,1563985497977,43,85,99899300,670,458,-0.8571428571430001,-1.0,MineSweeperBoard.java,5,MineSweeperBoard.MineSweeperBoard(int int int),Method_Body,1
151,1563985498177,52,85,100115400,733,455,-1.0,-1.0,MineSweeperBoard.java,5,MineSweeperBoard.MineSweeperBoard(int int int),Method_Body,1
152,1563985498502,74,63,94963000,883,129,-0.666666666667,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
153,1563985498621,74,63,580774500,890,127,-1.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
154,1563985499426,30,71,141756800,599,235,-0.9,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
156,1563985499876,21,71,958233900,524,252,-1.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
157,1563985500859,40,71,291899200,670,252,-1.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
158,1563985501182,28,70,595410000,595,229,-1.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
159,1563985501880,16,70,344899000,510,229,-1.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
160,1563985502292,40,70,313291100,674,228,-1.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
164,1563985504525,40,71,224407600,670,252,-0.8823529411759999,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
165,1563985505002,17,73,147305700,510,265,-0.888888888889,-1.0,MineSweeperBoard.java,14,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
169,1563985506325,22,71,166758500,547,249,-1.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
170,1563985506516,12,71,258175200,477,248,-0.952380952381,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
172,1563985507117,32,71,158134900,615,245,-0.923076923077,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
173,1563985507351,40,71,498095100,666,243,-0.916666666667,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
174,1563985507897,34,71,345593900,621,251,-1.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
175,1563985508666,48,70,450049400,714,236,-0.969696969697,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
176,1563985509167,61,71,388044900,822,239,-1.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
177,1563985509616,17,71,462336300,502,253,-1.0,-0.966666666667,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
183,1563985512125,15,71,300329000,490,255,-0.9565217391299998,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
184,1563985512500,20,73,191301300,528,267,-1.0,-1.0,MineSweeperBoard.java,14,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
185,1563985512774,12,73,366547700,477,285,-1.0,-1.0,MineSweeperBoard.java,14,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
187,1563985513624,17,73,224840800,510,288,-1.0,-1.0,MineSweeperBoard.java,14,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
191,1563985515677,57,85,122658900,769,455,-1.0,-0.333333333333,MineSweeperBoard.java,5,MineSweeperBoard.MineSweeperBoard(int int int),Method_Body,1
196,1563985517590,13,64,182597100,477,151,-1.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
197,1563985517773,15,57,554805600,476,167,-1.0,-1.0,MineSweeperBoard.java,1,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
198,1563985518554,30,56,86877400,585,200,-1.0,-1.0,MineSweeperBoard.java,1,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
199,1563985519339,19,57,87469400,507,218,-1.0,-1.0,MineSweeperBoard.java,1,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
200,1563985519452,19,58,470824000,501,230,-1.0,-1.0,MineSweeperBoard.java,1,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
201,1563985519965,18,59,75075800,500,239,-1.0,-1.0,MineSweeperBoard.java,1,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
204,1563985520815,13,67,308319500,487,374,-1.0,-1.0,MineSweeperBoard.java,8,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
205,1563985521367,14,70,81257200,488,415,-0.833333333333,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
209,1563985523374,11,49,296073400,428,177,-0.904761904762,-1.0,MineSweeper.java,3,MineSweeper.newGame:Comment,Comment,1
