,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
2,1564063782250,18,260,74780200,482,290,-0.666666666667,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
3,1564063782356,18,260,114211800,474,295,-0.127386,-0.8,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
4,1564063782650,27,265,174911800,533,360,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
5,1564063782875,28,265,225143600,546,361,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
6,1564063783484,28,259,90964200,554,281,-0.273192857143,-0.0527785714286,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Comment,2
7,1564063784276,19,261,240702000,483,307,-0.75,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
8,1564063784800,34,263,250033100,592,339,-0.8571428571430001,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
10,1564063785675,23,262,124943400,510,323,-0.545454545455,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
11,1564063785852,41,262,123020600,641,320,-0.6,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
12,1564063786116,28,262,158828100,549,315,-0.222222222222,-1.0,MineSweeperGui.java,1,MineSweeperGui.updateCheat,Method_Body,2
13,1564063786775,30,265,100127700,558,366,-0.8,-0.335034,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
14,1564063787141,24,267,308744300,522,398,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
15,1564063787874,30,267,592200800,561,396,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
17,1564063788625,28,267,116407600,542,396,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
18,1564063788875,31,267,124961200,561,392,-1.0,-0.833333333333,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
20,1564063789241,48,267,108380500,685,399,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
21,1564063789500,38,267,74675900,620,393,-1.0,-1.0,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
22,1564063790096,20,267,86261300,488,395,0.707969,-0.4,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
23,1564063790240,25,265,83505000,523,366,-0.8571428571430001,-0.8571428571430001,MineSweeperGui.java,0,MineSweeperGui.updateCheat,Method_Body,2
