,fix_time,fix_col,fix_line,fix_dur,pixel_x,pixel_y,left_pupil,right_pupil,which_file,AOI,function,entity,phase_number
0,1575669584500,22,48,117019600,505,551,-0.75,-1.0,MineSweeperBoard.java,5,MineSweeperBoard.ClassHeader,Member_Variable,1
2,1575669585700,10,58,140870100,417,650,-0.5,-1.0,MineSweeperBoard.java,1,MineSweeperBoard.MineSweeperBoard(int int int int):Comment,Comment,1
4,1575669588620,37,67,199880800,627,431,0.0,-1.0,MineSweeperBoard.java,4,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
5,1575669589805,18,69,148908200,494,463,-1.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Comment,1
6,1575669590254,37,70,155013100,630,476,-0.833333333333,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
7,1575669590875,28,71,168360900,563,485,-0.833333333333,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
8,1575669591117,31,71,433333000,587,484,-0.969696969697,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
9,1575669592074,56,71,474965800,748,480,-1.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
10,1575669594498,20,64,75053500,497,370,-0.5,-1.0,MineSweeperBoard.java,3,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
11,1575669595215,26,69,125108900,551,447,-0.888888888889,-0.673988888889,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Comment,1
12,1575669595540,14,70,183414400,466,473,-1.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
13,1575669596625,18,69,90177000,487,455,-1.0,-0.875,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Comment,1
14,1575669596740,29,70,233821700,575,465,-1.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
15,1575669597179,38,69,94595500,636,454,-0.875,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Comment,1
16,1575669597540,15,71,108725000,472,484,-1.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
17,1575669597699,15,71,91385200,478,488,-1.0,-1.0,MineSweeperBoard.java,2,MineSweeperBoard.MineSweeperBoard(int int int int),Method_Body,1
23,1575669601073,13,78,175231400,438,590,-1.0,-0.833333333333,MineSweeperBoard.java,0,MineSweeperBoard.MineSweeperBoard(int int int):Comment,Comment,1
24,1575669601649,31,78,66687900,567,588,-0.75,-1.0,MineSweeperBoard.java,0,MineSweeperBoard.MineSweeperBoard(int int int):Comment,Comment,1
